Book Name,Ratings,No of Reviews,Price
CBSE All In One Social Science Class 10 2022-23 Edition (As per latest CBSE Syllabus issued on 21 April 2022),4.4 out of 5 stars,667,₹292.00
Rich Dad Poor Dad - 20Th Anniversary Edition - Hindi,4.5 out of 5 stars,"13,412",₹215.00
"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness (Courage To series)",4.6 out of 5 stars,"6,533",₹315.00
Complete Maths Brahamastra formula book for all Competetive Exams,4.1 out of 5 stars,433,₹97.00
Indian Polity ( English| 6th Revised Edition) | UPSC | Civil Services Exam | State Administrative Exams,4.5 out of 5 stars,"3,226",₹599.00
BRAIN GAMES FOR CLEVER KIDS,4.3 out of 5 stars,"9,448",₹128.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,4.5 out of 5 stars,"50,430",₹199.00
BlackBook of English Vocabulary January 2022,4.5 out of 5 stars,851,₹221.00
"Doglapan: The Hard Truth about Life and Start-Ups (Pre-Order and meet Ashneer Grover, T&C in Image 5)",,,₹399.00
CBSE Mathematics Chapterwise Solved Papers Class 12th for 2023 Exam (As per Latest syllabus 2022-23),4.3 out of 5 stars,52,₹175.00
"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old",4.3 out of 5 stars,"1,841",₹96.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,4.5 out of 5 stars,"21,659",₹299.00
Picture Books Collection for Early Learning (Set of 12),4.3 out of 5 stars,"17,492",₹221.00
Educart CBSE Class 10 MATHEMATICS STANDARD Sample Papers 2023 (With Exclusive Topper Answers and Marks breakdown 2022-23),4.6 out of 5 stars,65,₹140.00
101 Panchatantra Stories for Children: Colourful Illustrated Story book,4.5 out of 5 stars,"7,623",₹119.00
Educart CBSE Class 10 SCIENCE Sample Papers 2023 (With Exclusive Topper Answers and Marks breakdown for 2022-23) Edubook,4.7 out of 5 stars,64,₹140.30
"MTG Objective NCERT at your FINGERTIPS - Biology, Best NEET Books (Based on NCERT Pattern - Latest & Revised Edition 2022)",4.5 out of 5 stars,"2,850",₹525.00
Bhagavad Gita Original in English - Bhagavad Gita as It is Original in English,4.8 out of 5 stars,"4,204",₹284.00
Oswaal CBSE Chapterwise & Topicwise Question Bank Class 10 Social Science Book (For 2023 Exam),4.3 out of 5 stars,481,₹452.00
Oswaal CBSE Chapterwise & Topicwise Question Bank Class 10 Mathematics Standard Book (For 2023 Exam),4.5 out of 5 stars,394,₹465.00
"Karma: A Yogi's Guide to Crafting Your Destiny | Spirituality, Self-improvement & Self help books by Sadhguru | Penguin",4.7 out of 5 stars,"10,303",₹159.00
"Oswal - Gurukul Last Years 10 Solved Papers for CBSE Class 10 Exam 2023 - Yearwise Board Solutions of Math Standard, English, Science & Social Science (All Sets Delhi & Outside), Latest Syllabus",4.4 out of 5 stars,303,₹690.00
My First Animal Sticker Book: Exciting Sticker Book With 100 Stickers,4.4 out of 5 stars,"1,355",₹153.00
Think and Grow Rich (Hindi),4.3 out of 5 stars,"6,037",₹99.00
"The Power of Your Subconscious Mind (PREMIUM PAPERBACK, PENGUIN INDIA)",4.5 out of 5 stars,"3,768",₹98.00
General Knowledge,4.4 out of 5 stars,"22,908",₹150.00
The Monk Who Sold His Ferrari,4.5 out of 5 stars,"25,169",₹110.00
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",4.3 out of 5 stars,"10,733",₹159.00
"The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by Sudha Murty for ages 8–12: ... fiction novel by Sudha Murty for ages 8–12",4.6 out of 5 stars,"7,394",₹170.00
Educart CBSE Class 10 SOCIAL SCIENCE Sample Papers 2023 (With Exclusive Topper Answers and Marks breakdown 2022-23),4.6 out of 5 stars,53,₹131.00
Encyclopedia: Amazing Questions & Answers Science,4.5 out of 5 stars,"2,454",₹137.00
Penguin Random House The Power Of Positive Thinking,4.3 out of 5 stars,"7,530",₹111.00
KVS MASTER PRT TGT PGT | Bilingual Book | Rohit Vaidwan | Adhyayan Mantra,3.4 out of 5 stars,23,₹484.00
When I Am With You,4.7 out of 5 stars,495,₹98.00
DO EPIC SHIT,4.5 out of 5 stars,"7,611",₹245.00
Oswaal CBSE Sample Question Papers Class 10 English Language & Literature Book for 2023 Board Exam (based on CBSE Sample Paper released on 16th September),4.4 out of 5 stars,44,₹167.00
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,4.6 out of 5 stars,"6,813",₹194.00
The Alchemist,4.6 out of 5 stars,"95,331",₹298.00
My First 4 in 1 Alphabet Numbers Colours Shapes: Padded Board Books,4.3 out of 5 stars,"4,168",₹149.00
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),4.4 out of 5 stars,"11,748",₹96.00
The Richest Man in Babylon,4.5 out of 5 stars,"32,817",₹99.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,4.5 out of 5 stars,"20,894",₹139.30
Wren And Martin -high School English Grammar,4.5 out of 5 stars,"10,831",₹244.00
"Thinking, Fast and Slow",4.5 out of 5 stars,"18,489",₹397.00
DEEP WORK: RULES FOR FOCUSED SUCCESS IN A DISTRACTED WORLD,4.5 out of 5 stars,"15,241",₹240.00
OXFORD ENGLISH MINI DICTIONARY 7TH EDITION,4.3 out of 5 stars,"4,071",₹124.00
The Power of A Positive Attitude: Your Road To Success,4.4 out of 5 stars,"2,841",₹99.00
1800+ Reward Stickers - Ideal For Teachers And Parents : Sticker Book With Over 1800 Stickers To Boost The Morale of Kids,4.5 out of 5 stars,769,₹149.00
"A Touch of Eternity by Durjoy Datta: Book on Love by Durjoy Datta | Fictional Book for Young Adults, Penguin Book",4.3 out of 5 stars,"2,523",₹98.00
"Moral Story Books for Kids (Set of 10 Books) (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers",4.5 out of 5 stars,855,₹227.00
Together With CBSE Class 10 Sample Papers ( EAD ) Science for 2023 Board Exam,4.7 out of 5 stars,7,₹125.00
VERITY,4.4 out of 5 stars,"141,904",₹150.00
Together With CBSE Class 10 Sample Papers ( EAD ) Mathematics for 2023 Board Exam,4.7 out of 5 stars,9,₹131.00
General Knowledge 2023,4.2 out of 5 stars,727,₹25.00
ONE TOUCH Pharmacology for NEET/NEXT/FMGE/INI-CET (PB- 2022),5.0 out of 5 stars,2,₹450.00
Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories for Children 2 to 6 year old,4.3 out of 5 stars,"5,892",₹280.00
The Midnight Library,4.4 out of 5 stars,"184,190",₹219.00
Oswaal CBSE Sample Question Papers Class 12 English Core for 2023 Board Exam (based on CBSE Sample Paper released on 16th September),4.8 out of 5 stars,64,₹190.00
The Complete Novels of Sherlock Holmes,4.5 out of 5 stars,"15,419",₹139.00
12 Rules for Life: An Antidote to Chaos,4.6 out of 5 stars,"55,474",₹362.00
